,Order ID,Gender,Visting,PaperlessBilling,PaymentMethod,Monthly Spending,Total Spending,Churn
132,US-2017-164147,Male,Two year,No,Bank transfer (automatic),50.55,3260.1,No
133,CA-2016-145583,Male,Month-to-month,Yes,Electronic check,35.45,35.45,Yes
134,CA-2016-145583,Female,Month-to-month,No,Electronic check,44.35,81.25,Yes
135,CA-2016-145583,Female,Two year,Yes,Credit card (automatic),25.7,1188.2,No
136,CA-2016-145583,Female,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,No
137,CA-2016-145583,Female,Two year,No,Mailed check,20.2,1277.75,No
138,CA-2016-145583,Male,Two year,Yes,Mailed check,19.6,1170.55,No
139,CA-2016-145583,Female,Month-to-month,Yes,Mailed check,70.45,70.45,Yes
140,CA-2016-110366,Male,Two year,Yes,Credit card (automatic),88.05,6425.65,No
141,CA-2017-106180,Male,Month-to-month,No,Electronic check,71.15,563.65,Yes
142,CA-2017-106180,Male,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No
143,CA-2017-106180,Female,One year,Yes,Credit card (automatic),84.3,5289.05,No
144,CA-2017-155376,Male,Two year,No,Bank transfer (automatic),23.95,1756.2,No
145,CA-2015-110744,Male,Two year,Yes,Credit card (automatic),99.05,6416.7,No
146,CA-2014-110072,Male,One year,No,Mailed check,19.6,61.35,No
147,CA-2016-114489,Male,Month-to-month,Yes,Electronic check,45.65,45.65,Yes
148,CA-2016-114489,Female,One year,No,Credit card (automatic),64.5,1929.95,No
149,CA-2016-114489,Male,Month-to-month,Yes,Mailed check,69.5,1071.4,No
150,CA-2016-114489,Female,Month-to-month,Yes,Electronic check,68.55,564.35,No
151,CA-2016-158834,Female,Month-to-month,No,Mailed check,95.0,655.5,Yes
152,CA-2016-158834,Female,One year,Yes,Credit card (automatic),108.15,7930.55,No
153,CA-2015-124919,Male,Two year,No,Electronic check,86.1,5215.25,No
154,CA-2015-124919,Male,Month-to-month,No,Mailed check,19.7,113.5,No
155,CA-2015-124919,Female,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,No
156,CA-2015-118948,Female,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,No
157,CA-2014-104269,Male,One year,No,Mailed check,20.15,419.9,No
158,CA-2016-114104,Male,Two year,No,Mailed check,64.25,1024.0,No
159,CA-2016-114104,Female,Two year,No,Bank transfer (automatic),25.7,251.6,No
160,CA-2016-162733,Male,Month-to-month,Yes,Electronic check,56.0,764.55,No
161,CA-2015-119697,Female,Month-to-month,No,Electronic check,82.4,1592.35,Yes
162,CA-2016-154508,Female,Month-to-month,Yes,Electronic check,69.7,135.2,No
163,CA-2016-113817,Male,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No
164,CA-2014-139892,Female,One year,No,Mailed check,20.6,233.9,No
165,CA-2014-139892,Female,Two year,No,Mailed check,19.9,1363.45,No
166,CA-2014-139892,Male,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes
167,CA-2014-139892,Male,Two year,Yes,Bank transfer (automatic),89.05,6254.45,No
168,CA-2014-139892,Female,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes
169,CA-2014-139892,Female,Month-to-month,No,Electronic check,20.4,321.4,No
170,CA-2014-139892,Female,One year,Yes,Bank transfer (automatic),84.25,3539.25,No
171,CA-2014-118962,Female,Month-to-month,Yes,Electronic check,104.4,242.8,Yes
172,CA-2014-118962,Male,Two year,No,Mailed check,81.95,1181.75,No
173,CA-2014-118962,Female,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes
174,US-2014-100853,Male,One year,No,Bank transfer (automatic),20.55,654.55,No
175,US-2014-100853,Male,Month-to-month,No,Electronic check,24.7,780.2,No
176,US-2017-152366,Male,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes
177,US-2015-101511,Male,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes
178,US-2015-101511,Female,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,No
179,CA-2015-137225,Male,One year,Yes,Credit card (automatic),20.55,1252.0,No
180,CA-2014-166191,Male,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes
181,CA-2014-166191,Male,Month-to-month,No,Mailed check,45.3,45.3,No
182,CA-2014-158274,Female,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes
183,CA-2014-158274,Male,One year,No,Credit card (automatic),74.75,2453.3,No
184,CA-2014-158274,Male,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes
185,CA-2016-105018,Female,Month-to-month,Yes,Electronic check,24.8,24.8,Yes
186,CA-2014-123260,Male,Month-to-month,Yes,Mailed check,51.8,1023.85,No
187,CA-2016-157000,Male,Month-to-month,No,Electronic check,30.4,82.15,No
188,CA-2016-157000,Female,One year,No,Electronic check,19.65,244.8,No
189,CA-2015-102281,Male,Month-to-month,No,Credit card (automatic),56.6,2379.1,No
190,CA-2015-102281,Female,One year,Yes,Credit card (automatic),71.9,3173.35,No
191,CA-2015-102281,Female,Month-to-month,Yes,Electronic check,91.0,531.0,Yes
192,CA-2015-102281,Female,Two year,No,Bank transfer (automatic),19.75,1375.4,No
193,CA-2015-102281,Female,Two year,No,Credit card (automatic),109.7,8129.3,No
194,CA-2015-131457,Male,Two year,No,Credit card (automatic),19.3,1192.7,No
195,CA-2014-140004,Male,Month-to-month,Yes,Electronic check,96.55,1901.65,No
196,CA-2014-140004,Female,Two year,Yes,Bank transfer (automatic),24.1,587.4,No
197,CA-2017-107720,Female,Month-to-month,Yes,Electronic check,111.35,6519.75,No
198,US-2017-124303,Male,Two year,Yes,Bank transfer (automatic),112.25,8041.65,No
199,US-2017-124303,Male,Month-to-month,No,Mailed check,20.75,20.75,No
200,CA-2017-105074,Male,One year,Yes,Credit card (automatic),101.9,2681.15,No
201,CA-2014-133690,Female,Month-to-month,Yes,Credit card (automatic),80.05,1112.3,No
202,CA-2014-133690,Female,Two year,No,Electronic check,105.55,7405.5,No
203,US-2017-116701,Female,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,No
204,CA-2017-126382,Male,Month-to-month,No,Credit card (automatic),68.85,2958.95,No
205,CA-2017-108329,Female,One year,Yes,Bank transfer (automatic),79.95,2684.85,No
206,CA-2017-135860,Male,Two year,Yes,Credit card (automatic),55.45,4179.2,No
207,CA-2017-135860,Female,Month-to-month,No,Electronic check,79.9,79.9,Yes
208,CA-2017-135860,Male,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes
209,CA-2017-135860,Male,One year,Yes,Credit card (automatic),102.45,6654.1,No
210,CA-2017-135860,Female,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes
211,CA-2015-101007,Female,Month-to-month,No,Electronic check,25.25,25.25,No
212,CA-2015-146262,Female,Two year,No,Mailed check,19.75,1124.2,No
213,CA-2015-146262,Female,One year,No,Electronic check,20.0,540.05,No
214,CA-2015-146262,Female,Month-to-month,No,Electronic check,86.8,1975.85,No
215,CA-2015-146262,Female,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45,No
216,CA-2015-146262,Male,Two year,No,Credit card (automatic),45.25,3139.8,No
217,CA-2016-130162,Male,Two year,Yes,Bank transfer (automatic),56.6,3789.2,No
218,CA-2016-130162,Male,Two year,Yes,Bank transfer (automatic),84.2,5324.5,No
219,CA-2015-169397,Male,Month-to-month,Yes,Bank transfer (automatic),80.0,624.6,No
220,CA-2015-169397,Female,Month-to-month,Yes,Electronic check,70.15,268.35,Yes
221,CA-2015-169397,Male,Two year,No,Bank transfer (automatic),24.75,1836.9,No
222,CA-2015-169397,Male,One year,Yes,Electronic check,20.2,20.2,No
223,CA-2015-169397,Male,Month-to-month,No,Mailed check,50.05,179.35,Yes
224,CA-2015-169397,Male,One year,Yes,Bank transfer (automatic),19.35,219.35,No
225,CA-2015-163055,Female,One year,Yes,Mailed check,50.6,1288.75,No
226,CA-2015-163055,Female,One year,Yes,Mailed check,81.15,2545.75,No
227,CA-2015-163055,Female,Month-to-month,No,Mailed check,55.2,55.2,Yes
228,US-2015-145436,Male,Month-to-month,Yes,Credit card (automatic),89.9,2723.15,No
229,US-2015-145436,Male,Two year,Yes,Credit card (automatic),85.3,4107.25,No
230,US-2014-156216,Male,Two year,Yes,Credit card (automatic),108.0,5760.65,No
231,US-2017-100930,Male,Month-to-month,Yes,Credit card (automatic),93.5,4747.5,No
232,US-2017-100930,Male,Month-to-month,Yes,Mailed check,84.6,84.6,Yes
233,US-2017-100930,Male,Two year,No,Credit card (automatic),20.25,1566.9,No
234,US-2017-100930,Male,Month-to-month,No,Electronic check,25.15,702.0,No
235,US-2017-100930,Female,Month-to-month,Yes,Mailed check,54.4,114.1,Yes
236,CA-2017-160514,Male,Two year,Yes,Mailed check,29.6,299.05,No
237,CA-2016-157749,Female,Month-to-month,Yes,Electronic check,73.15,1305.95,No
238,CA-2016-157749,Female,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes
239,CA-2016-157749,Male,Two year,No,Mailed check,19.75,284.35,No
240,CA-2016-157749,Male,Two year,No,Bank transfer (automatic),86.6,6350.5,No
241,CA-2016-157749,Female,Two year,No,Bank transfer (automatic),109.2,7878.3,No
242,CA-2016-157749,Male,One year,Yes,Credit card (automatic),74.7,3187.65,No
243,CA-2016-157749,Female,Month-to-month,No,Electronic check,94.4,6126.15,No
244,CA-2014-131926,Female,Month-to-month,Yes,Electronic check,54.8,731.3,No
245,CA-2014-131926,Female,Month-to-month,No,Electronic check,75.35,273.4,No
246,CA-2014-131926,Male,One year,No,Mailed check,65.0,2531.8,No
247,CA-2014-131926,Male,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes
248,CA-2014-131926,Female,Month-to-month,Yes,Mailed check,48.55,48.55,Yes
249,CA-2016-154739,Female,One year,Yes,Electronic check,99.0,4298.45,No
250,CA-2016-145625,Female,One year,Yes,Electronic check,93.5,4619.55,No
251,CA-2016-145625,Female,Month-to-month,No,Electronic check,70.4,147.15,Yes
252,CA-2016-146941,Male,Month-to-month,No,Electronic check,40.2,40.2,Yes
253,CA-2016-146941,Male,One year,No,Credit card (automatic),83.7,2633.3,No
254,US-2015-159982,Female,Month-to-month,Yes,Mailed check,19.85,193.05,No
255,US-2015-159982,Male,Two year,Yes,Electronic check,59.55,4103.9,No
256,US-2015-159982,Female,Two year,No,Credit card (automatic),115.1,7008.15,No
257,US-2015-159982,Male,One year,No,Credit card (automatic),114.35,5791.1,No
258,CA-2017-163139,Male,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes
259,CA-2017-163139,Male,Month-to-month,Yes,Electronic check,45.0,1228.65,No
260,CA-2017-163139,Male,Month-to-month,Yes,Electronic check,41.15,132.2,Yes
261,US-2017-155299,Male,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes
262,US-2014-106992,Female,Month-to-month,Yes,Electronic check,89.85,4925.35,No
263,US-2014-106992,Male,Two year,Yes,Bank transfer (automatic),49.85,1520.1,No
264,CA-2016-125318,Female,One year,No,Mailed check,113.3,5032.25,No
265,CA-2015-155040,Male,Two year,No,Mailed check,88.1,5526.75,No
266,CA-2017-136826,Male,Two year,No,Bank transfer (automatic),24.9,1195.25,No
267,CA-2016-111010,Male,Month-to-month,Yes,Mailed check,105.0,2007.25,No
268,US-2017-145366,Male,Two year,No,Mailed check,19.35,1099.6,Yes
269,US-2017-145366,Male,Two year,Yes,Credit card (automatic),24.25,1732.95,No
270,CA-2017-163979,Male,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes
271,CA-2015-155334,Female,Two year,Yes,Electronic check,59.75,3450.15,No
272,CA-2015-155334,Female,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes
273,CA-2015-155334,Female,Month-to-month,No,Electronic check,107.05,2172.05,No
274,CA-2017-118136,Male,Month-to-month,No,Mailed check,70.6,70.6,Yes
275,CA-2017-118136,Female,Month-to-month,Yes,Electronic check,85.4,401.1,Yes
276,CA-2017-132976,Female,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes
277,CA-2017-132976,Female,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.8,No
278,CA-2017-132976,Male,Month-to-month,Yes,Electronic check,55.0,771.95,No
279,CA-2017-132976,Male,Month-to-month,No,Bank transfer (automatic),50.55,244.75,No
280,US-2015-161991,Male,Month-to-month,No,Mailed check,55.15,322.9,No
281,US-2015-161991,Female,Month-to-month,No,Electronic check,51.2,498.25,No
282,CA-2015-130890,Male,Month-to-month,No,Mailed check,25.4,25.4,No
283,CA-2015-130883,Male,Month-to-month,No,Mailed check,54.45,3687.75,No
284,CA-2015-130883,Male,Month-to-month,No,Mailed check,95.15,1779.95,Yes
285,CA-2015-130883,Male,One year,Yes,Credit card (automatic),76.0,1783.6,No
286,CA-2016-112697,Male,Month-to-month,Yes,Electronic check,44.35,927.15,No
287,CA-2016-112697,Male,Month-to-month,No,Electronic check,70.0,70.0,Yes
288,CA-2016-112697,Female,Month-to-month,Yes,Electronic check,74.5,606.55,Yes
289,CA-2016-110772,Male,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes
290,CA-2016-110772,Male,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes
291,CA-2016-110772,Female,One year,No,Mailed check,61.2,2021.2,No
292,CA-2016-110772,Female,One year,No,Mailed check,86.8,1940.8,No
293,CA-2014-111451,Male,Month-to-month,Yes,Electronic check,89.35,567.8,No
294,CA-2014-111451,Male,Month-to-month,No,Mailed check,19.7,220.35,No
295,CA-2014-111451,Male,Month-to-month,No,Mailed check,20.25,20.25,No
296,CA-2014-111451,Female,Two year,No,Electronic check,76.05,5436.45,No
297,CA-2014-111451,Male,Month-to-month,Yes,Electronic check,100.8,3437.5,No
298,CA-2016-142545,Male,Month-to-month,Yes,Electronic check,74.55,3015.75,No
299,CA-2016-142545,Female,Month-to-month,Yes,Mailed check,73.6,73.6,Yes
300,CA-2016-142545,Male,One year,Yes,Bank transfer (automatic),64.9,1509.8,No
301,CA-2016-142545,Female,Month-to-month,Yes,Electronic check,95.45,396.1,Yes
302,CA-2016-142545,Male,Month-to-month,Yes,Electronic check,90.4,356.65,No
303,US-2017-152380,Male,Two year,No,Credit card (automatic),60.3,4109.0,No
304,CA-2015-144253,Female,Month-to-month,Yes,Mailed check,81.85,3141.7,No
305,CA-2014-130960,Male,Two year,No,Mailed check,24.8,1229.1,No
306,CA-2014-111003,Male,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes
307,CA-2014-111003,Female,Two year,No,Mailed check,75.55,2054.4,No
308,CA-2017-126774,Male,Month-to-month,No,Electronic check,101.15,3741.85,No
309,CA-2016-142902,Female,One year,Yes,Credit card (automatic),78.75,3682.45,No
310,CA-2016-142902,Male,Month-to-month,Yes,Bank transfer (automatic),19.25,19.25,No
311,CA-2016-142902,Female,Month-to-month,Yes,Electronic check,89.05,1886.25,No
312,CA-2016-142902,Female,Two year,No,Credit card (automatic),115.05,4895.1,No
313,CA-2014-120887,Male,Month-to-month,Yes,Electronic check,69.35,341.6,No
314,CA-2014-167850,Female,Month-to-month,Yes,Electronic check,80.6,415.55,Yes
315,CA-2014-167850,Male,One year,No,Credit card (automatic),110.05,5686.4,No
316,CA-2014-164259,Female,Two year,Yes,Credit card (automatic),19.9,1355.1,No
317,CA-2014-164973,Male,One year,No,Credit card (automatic),80.3,3058.65,Yes
318,CA-2014-164973,Male,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes
319,CA-2014-164973,Female,Month-to-month,Yes,Credit card (automatic),91.5,3236.35,No
320,CA-2014-164973,Male,One year,No,Bank transfer (automatic),82.45,4350.1,Yes
321,CA-2014-164973,Female,Two year,Yes,Electronic check,60.0,4264.0,No
322,CA-2014-156601,Male,Month-to-month,Yes,Electronic check,44.8,44.8,No
323,CA-2016-162138,Female,One year,No,Mailed check,48.6,422.3,No
324,CA-2016-162138,Female,Two year,Yes,Bank transfer (automatic),60.05,4176.7,No
325,CA-2017-153339,Female,Month-to-month,Yes,Credit card (automatic),102.7,5138.1,No
326,US-2016-141544,Female,Month-to-month,Yes,Electronic check,82.9,880.05,No
327,US-2016-141544,Female,Month-to-month,Yes,Electronic check,70.35,139.05,Yes
328,US-2016-141544,Male,Month-to-month,Yes,Electronic check,35.9,973.65,No
329,US-2016-141544,Female,Month-to-month,Yes,Credit card (automatic),82.65,1470.05,No
330,US-2016-141544,Male,Two year,Yes,Mailed check,19.85,739.35,No
331,US-2016-150147,Female,One year,Yes,Mailed check,19.2,161.95,No
332,US-2016-150147,Female,One year,Yes,Credit card (automatic),94.9,4422.95,No
333,US-2016-150147,Male,Month-to-month,Yes,Electronic check,73.85,511.25,Yes
334,CA-2015-137946,Male,Month-to-month,No,Mailed check,80.6,155.8,Yes
335,CA-2015-137946,Female,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes
336,CA-2015-137946,Male,Two year,Yes,Electronic check,104.6,4759.85,Yes
