,Order ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
61,CA-2016-111682,Female,Yes,73.0,Yes,Artist,1.0,Average,2.0,Cat_6,C
62,CA-2015-135545,Male,Yes,62.0,No,Artist,1.0,High,3.0,Cat_6,A
63,CA-2015-135545,Female,Yes,46.0,Yes,Artist,1.0,Average,2.0,Cat_6,A
64,CA-2015-135545,Male,Yes,43.0,Yes,Entertainment,0.0,Low,4.0,Cat_4,A
65,CA-2015-135545,Female,No,32.0,Yes,Entertainment,7.0,Low,1.0,Cat_6,D
66,US-2015-164175,Male,No,39.0,Yes,Artist,0.0,Low,1.0,Cat_6,C
67,CA-2014-106376,Female,Yes,89.0,Yes,Lawyer,0.0,High,2.0,Cat_6,A
68,CA-2014-106376,Female,No,18.0,No,Healthcare,0.0,Low,3.0,Cat_4,B
69,CA-2016-119823,Female,Yes,57.0,Yes,Artist,0.0,High,2.0,Cat_3,B
70,CA-2016-106075,Female,No,18.0,No,Entertainment,0.0,Low,4.0,Cat_6,D
71,CA-2017-114440,Female,Yes,71.0,Yes,Artist,1.0,High,2.0,Cat_6,C
72,US-2015-134026,Female,Yes,69.0,Yes,Artist,0.0,Average,2.0,Cat_6,C
73,US-2015-134026,Female,No,42.0,Yes,Healthcare,0.0,Low,4.0,Cat_6,D
74,US-2015-134026,Female,No,36.0,Yes,Artist,0.0,Low,2.0,Cat_6,B
75,US-2017-118038,Female,Yes,80.0,Yes,Lawyer,1.0,High,2.0,Cat_6,D
76,US-2017-118038,Male,Yes,69.0,No,Entertainment,1.0,Low,1.0,Cat_6,B
77,US-2017-118038,Female,Yes,67.0,Yes,Artist,0.0,Average,3.0,Cat_6,A
78,US-2014-147606,Female,Yes,47.0,Yes,Doctor,1.0,Average,4.0,Cat_6,C
79,CA-2016-127208,Female,Yes,49.0,Yes,Artist,0.0,Average,2.0,Cat_6,D
80,CA-2016-127208,Female,Yes,32.0,No,Engineer,9.0,Low,4.0,Cat_6,A
81,CA-2014-139451,Female,Yes,65.0,Yes,Lawyer,1.0,Average,4.0,Cat_6,D
82,CA-2014-139451,Female,Yes,78.0,No,Lawyer,0.0,High,2.0,Cat_6,D
83,CA-2015-149734,Male,No,33.0,Yes,Artist,1.0,Low,6.0,Cat_6,D
84,US-2017-119662,Male,Yes,48.0,Yes,Artist,1.0,Low,1.0,Cat_6,D
85,CA-2017-140088,Male,Yes,58.0,Yes,Executive,1.0,Average,5.0,Cat_6,A
86,CA-2017-155558,Female,Yes,83.0,Yes,Lawyer,1.0,High,5.0,Cat_6,C
87,CA-2017-155558,Female,No,30.0,No,Healthcare,9.0,Low,4.0,Cat_6,A
88,CA-2016-159695,Female,No,35.0,Yes,Artist,0.0,Low,2.0,Cat_6,D
89,CA-2016-109806,Male,No,32.0,Yes,Healthcare,6.0,Low,5.0,Cat_6,D
90,CA-2016-109806,Male,Yes,69.0,Yes,Homemaker,1.0,High,2.0,Cat_6,B
91,CA-2016-109806,Female,Yes,71.0,Yes,Lawyer,1.0,High,2.0,Cat_6,C
92,CA-2015-149587,Male,No,43.0,Yes,Lawyer,0.0,Low,1.0,Cat_4,C
93,CA-2015-149587,Male,Yes,37.0,Yes,Artist,0.0,Low,2.0,Cat_6,A
94,CA-2015-149587,Male,No,42.0,Yes,Doctor,0.0,Low,1.0,Cat_6,B
95,US-2017-109484,Female,Yes,70.0,Yes,Doctor,1.0,Average,2.0,Cat_6,C
96,CA-2017-161018,Male,No,46.0,Yes,Artist,0.0,Low,2.0,Cat_6,B
97,CA-2017-157833,Male,No,21.0,No,Healthcare,0.0,Low,2.0,Cat_1,C
98,CA-2016-149223,Male,Yes,70.0,Yes,Artist,0.0,Average,2.0,Cat_6,B
99,CA-2016-158568,Female,Yes,61.0,Yes,Artist,1.0,Low,2.0,Cat_6,B
100,CA-2016-158568,Male,Yes,60.0,Yes,Entertainment,1.0,Low,1.0,Cat_6,C
101,CA-2016-158568,Male,No,37.0,Yes,Entertainment,0.0,Low,2.0,Cat_2,B
102,CA-2016-129903,Male,Yes,30.0,Yes,Healthcare,1.0,Low,2.0,Cat_6,A
103,US-2015-156867,Female,No,32.0,Yes,Engineer,1.0,Low,3.0,Cat_6,D
104,US-2015-156867,Male,Yes,26.0,Yes,Executive,0.0,Low,3.0,Cat_6,D
105,US-2015-156867,Male,No,42.0,Yes,Marketing,0.0,Low,1.0,Cat_6,A
106,CA-2017-119004,Female,No,18.0,No,Doctor,0.0,Low,1.0,Cat_6,D
107,CA-2017-119004,Male,Yes,80.0,No,Executive,0.0,Low,1.0,Cat_6,D
108,CA-2017-119004,Male,Yes,29.0,Yes,Healthcare,8.0,High,2.0,Cat_6,C
109,CA-2015-129476,Female,Yes,88.0,Yes,Artist,1.0,High,2.0,Cat_6,D
110,CA-2017-146780,Male,Yes,70.0,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
111,CA-2016-128867,Female,Yes,50.0,Yes,Artist,1.0,High,4.0,Cat_6,B
112,CA-2016-128867,Male,Yes,43.0,Yes,Doctor,4.0,Average,4.0,Cat_3,B
113,CA-2014-115259,Male,Yes,51.0,Yes,Artist,6.0,Average,2.0,Cat_6,B
114,CA-2014-115259,Female,Yes,50.0,Yes,Artist,6.0,High,3.0,Cat_6,B
115,CA-2014-115259,Female,Yes,74.0,No,Homemaker,6.0,Low,1.0,Cat_6,B
116,CA-2014-115259,Female,No,29.0,Yes,Healthcare,6.0,Low,3.0,Cat_6,A
117,CA-2015-110457,Female,No,32.0,Yes,Engineer,6.0,Low,2.0,Cat_6,D
118,US-2015-136476,Male,Yes,60.0,No,Executive,0.0,Low,2.0,Cat_6,D
119,CA-2016-103730,Male,No,46.0,Yes,Artist,2.0,Low,1.0,Cat_6,C
120,CA-2016-103730,Female,Yes,81.0,Yes,Marketing,0.0,Low,2.0,Cat_6,B
121,CA-2016-103730,Male,Yes,41.0,No,Engineer,0.0,Average,7.0,Cat_4,A
122,CA-2016-103730,Male,Yes,22.0,No,Executive,0.0,High,4.0,Cat_6,A
123,CA-2016-103730,Male,Yes,37.0,Yes,Artist,0.0,Average,3.0,Cat_6,D
124,US-2014-152030,Male,Yes,43.0,No,Engineer,0.0,Low,1.0,Cat_6,D
125,US-2014-134614,Male,Yes,50.0,Yes,Artist,1.0,Average,3.0,Cat_6,D
126,US-2017-107272,Female,Yes,35.0,Yes,Artist,1.0,Average,2.0,Cat_7,A
127,US-2017-107272,Male,Yes,65.0,No,Lawyer,1.0,High,2.0,Cat_6,C
128,US-2016-125969,Female,No,41.0,Yes,Engineer,0.0,Low,4.0,Cat_6,B
129,US-2016-125969,Male,No,28.0,No,Entertainment,8.0,Low,2.0,Cat_6,D
130,US-2017-164147,Male,Yes,55.0,Yes,Artist,4.0,Average,2.0,Cat_6,A
131,US-2017-164147,Female,Yes,58.0,No,Lawyer,4.0,High,2.0,Cat_6,B
132,US-2017-164147,Male,No,28.0,No,Healthcare,1.0,Low,3.0,Cat_6,C
133,CA-2016-145583,Male,Yes,48.0,Yes,Artist,1.0,Average,4.0,Cat_7,B
134,CA-2016-145583,Female,Yes,78.0,No,Doctor,1.0,High,2.0,Cat_6,B
135,CA-2016-145583,Female,No,35.0,Yes,Doctor,1.0,Low,3.0,Cat_6,A
136,CA-2016-145583,Female,Yes,76.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B
137,CA-2016-145583,Female,Yes,88.0,Yes,Lawyer,1.0,High,2.0,Cat_6,A
138,CA-2016-145583,Male,Yes,61.0,Yes,Lawyer,1.0,Average,3.0,Cat_6,D
139,CA-2016-145583,Female,Yes,79.0,Yes,Artist,1.0,High,2.0,Cat_6,B
140,CA-2016-110366,Male,No,30.0,No,Doctor,0.0,Low,4.0,Cat_6,A
141,CA-2017-106180,Male,Yes,69.0,No,Executive,0.0,High,2.0,Cat_6,C
142,CA-2017-106180,Male,Yes,65.0,Yes,Doctor,1.0,Average,2.0,Cat_6,B
143,CA-2017-106180,Female,Yes,70.0,Yes,Lawyer,1.0,Low,2.0,Cat_6,C
144,CA-2017-155376,Male,Yes,32.0,No,Healthcare,0.0,Average,4.0,Cat_6,D
145,CA-2015-110744,Male,Yes,46.0,Yes,Entertainment,0.0,Low,4.0,Cat_6,A
146,CA-2014-110072,Male,No,21.0,No,Healthcare,8.0,Low,5.0,Cat_6,A
147,CA-2016-114489,Male,Yes,47.0,Yes,Doctor,8.0,Low,3.0,Cat_6,B
148,CA-2016-114489,Female,No,39.0,No,Marketing,0.0,Low,2.0,Cat_4,D
149,CA-2016-114489,Male,Yes,85.0,Yes,Lawyer,0.0,Low,3.0,Cat_6,C
150,CA-2016-114489,Female,No,66.0,Yes,Artist,0.0,Low,2.0,Cat_6,A
151,CA-2016-158834,Female,Yes,50.0,Yes,Artist,1.0,Average,2.0,Cat_6,A
152,CA-2016-158834,Female,Yes,42.0,Yes,Artist,0.0,Average,3.0,Cat_6,B
153,CA-2015-124919,Male,Yes,53.0,Yes,Artist,9.0,Low,1.0,Cat_6,C
154,CA-2015-124919,Male,Yes,37.0,Yes,Artist,9.0,Low,2.0,Cat_6,A
155,CA-2015-124919,Female,Yes,45.0,Yes,Artist,1.0,Low,2.0,Cat_6,D
156,CA-2015-118948,Female,No,66.0,No,Lawyer,1.0,Low,1.0,Cat_6,A
157,CA-2014-104269,Male,No,33.0,No,Marketing,1.0,Low,1.0,Cat_6,C
158,CA-2016-114104,Male,Yes,40.0,Yes,Artist,4.0,Low,1.0,Cat_6,A
159,CA-2016-114104,Female,Yes,35.0,Yes,Artist,1.0,Low,1.0,Cat_1,B
160,CA-2016-162733,Male,No,27.0,Yes,Artist,1.0,Low,2.0,Cat_6,A
161,CA-2015-119697,Female,Yes,48.0,Yes,Artist,0.0,Average,3.0,Cat_4,A
162,CA-2016-154508,Female,Yes,56.0,Yes,Artist,0.0,Average,2.0,Cat_6,B
163,CA-2016-113817,Male,Yes,25.0,Yes,Healthcare,0.0,Low,6.0,Cat_6,B
164,CA-2014-139892,Female,No,30.0,No,Artist,0.0,Low,8.0,Cat_6,A
165,CA-2014-139892,Female,Yes,46.0,Yes,Entertainment,7.0,Low,3.0,Cat_6,C
166,CA-2014-139892,Male,Yes,49.0,No,Lawyer,0.0,Low,2.0,Cat_6,C
167,CA-2014-139892,Male,Yes,72.0,No,Marketing,1.0,Low,4.0,Cat_6,C
168,CA-2014-139892,Female,Yes,79.0,Yes,Lawyer,1.0,High,2.0,Cat_6,C
169,CA-2014-139892,Female,No,35.0,Yes,Artist,1.0,Low,3.0,Cat_6,A
170,CA-2014-139892,Female,Yes,77.0,Yes,Lawyer,0.0,Low,1.0,Cat_6,B
171,CA-2014-118962,Female,Yes,79.0,No,Lawyer,0.0,High,2.0,Cat_6,C
172,CA-2014-118962,Male,Yes,42.0,Yes,Healthcare,6.0,High,4.0,Cat_6,D
173,CA-2014-118962,Female,No,42.0,Yes,Engineer,6.0,Low,1.0,Cat_6,A
174,US-2014-100853,Male,Yes,67.0,No,Lawyer,6.0,High,2.0,Cat_1,B
175,US-2014-100853,Male,No,26.0,Yes,Healthcare,1.0,Low,1.0,Cat_6,B
176,US-2017-152366,Male,Yes,67.0,Yes,Lawyer,1.0,High,2.0,Cat_6,A
177,US-2015-101511,Male,Yes,55.0,Yes,Engineer,1.0,Low,1.0,Cat_6,D
178,US-2015-101511,Female,Yes,56.0,Yes,Artist,1.0,Average,2.0,Cat_6,D
179,CA-2015-137225,Male,Yes,63.0,Yes,Artist,1.0,Average,4.0,Cat_6,A
180,CA-2014-166191,Male,Yes,46.0,Yes,Artist,8.0,Average,2.0,Cat_6,C
181,CA-2014-166191,Male,Yes,32.0,Yes,Healthcare,7.0,Low,2.0,Cat_6,D
182,CA-2014-158274,Female,No,49.0,Yes,Homemaker,13.0,Low,1.0,Cat_6,B
183,CA-2014-158274,Male,Yes,59.0,Yes,Artist,1.0,High,2.0,Cat_6,C
184,CA-2014-158274,Male,No,22.0,No,Healthcare,8.0,Low,5.0,Cat_4,D
185,CA-2016-105018,Female,No,28.0,Yes,Artist,8.0,Low,1.0,Cat_6,B
186,CA-2014-123260,Male,No,28.0,Yes,Entertainment,1.0,Low,3.0,Cat_6,A
187,CA-2016-157000,Male,Yes,75.0,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
188,CA-2016-157000,Female,Yes,37.0,Yes,Artist,13.0,Low,2.0,Cat_6,A
189,CA-2015-102281,Male,Yes,50.0,Yes,Doctor,0.0,Average,2.0,Cat_6,B
190,CA-2015-102281,Female,Yes,50.0,Yes,Executive,1.0,High,4.0,Cat_6,C
191,CA-2015-102281,Female,Yes,88.0,No,Lawyer,1.0,Low,4.0,Cat_6,B
192,CA-2015-102281,Female,Yes,35.0,Yes,Artist,3.0,Average,5.0,Cat_4,A
193,CA-2015-102281,Female,No,35.0,No,Artist,3.0,Low,5.0,Cat_7,C
194,CA-2015-131457,Male,Yes,31.0,No,Entertainment,3.0,Average,3.0,Cat_6,A
195,CA-2014-140004,Male,Yes,46.0,Yes,Artist,0.0,Low,1.0,Cat_6,C
196,CA-2014-140004,Female,Yes,50.0,Yes,Artist,1.0,Average,4.0,Cat_6,C
197,CA-2017-107720,Female,No,33.0,Yes,Artist,7.0,Low,3.0,Cat_6,A
198,US-2017-124303,Male,Yes,49.0,Yes,Artist,0.0,Low,1.0,Cat_6,A
199,US-2017-124303,Male,Yes,52.0,Yes,Artist,1.0,Average,3.0,Cat_6,C
200,CA-2017-105074,Male,No,25.0,No,Healthcare,0.0,Low,3.0,Cat_6,D
201,CA-2014-133690,Female,Yes,41.0,Yes,Artist,6.0,Low,1.0,Cat_6,D
202,CA-2014-133690,Female,Yes,68.0,Yes,Artist,0.0,High,2.0,Cat_6,D
203,US-2017-116701,Female,Yes,79.0,No,Lawyer,2.0,High,2.0,Cat_6,A
204,CA-2017-126382,Male,Yes,40.0,Yes,Entertainment,5.0,Average,5.0,Cat_6,A
205,CA-2017-108329,Female,No,62.0,Yes,Doctor,5.0,Low,1.0,Cat_6,D
206,CA-2017-135860,Male,No,21.0,No,Healthcare,5.0,Low,2.0,Cat_6,D
207,CA-2017-135860,Female,No,20.0,No,Healthcare,5.0,Low,4.0,Cat_1,D
208,CA-2017-135860,Male,No,28.0,Yes,Entertainment,1.0,Low,5.0,Cat_6,C
209,CA-2017-135860,Male,Yes,57.0,Yes,Doctor,0.0,Average,2.0,Cat_4,B
210,CA-2017-135860,Female,No,25.0,No,Healthcare,8.0,Low,2.0,Cat_4,A
211,CA-2015-101007,Female,Yes,63.0,No,Engineer,8.0,Low,1.0,Cat_6,B
212,CA-2015-146262,Female,Yes,26.0,No,Entertainment,1.0,Low,3.0,Cat_6,D
213,CA-2015-146262,Female,Yes,50.0,No,Marketing,0.0,High,3.0,Cat_4,C
214,CA-2015-146262,Female,No,30.0,No,Marketing,9.0,Low,4.0,Cat_2,D
215,CA-2015-146262,Female,No,26.0,No,Engineer,9.0,Low,4.0,Cat_4,B
216,CA-2015-146262,Male,Yes,61.0,Yes,Artist,1.0,Average,3.0,Cat_6,C
217,CA-2016-130162,Male,No,42.0,Yes,Artist,3.0,Low,1.0,Cat_6,A
218,CA-2016-130162,Male,Yes,88.0,Yes,Artist,4.0,Low,2.0,Cat_6,A
219,CA-2015-169397,Male,Yes,45.0,No,Artist,3.0,Average,3.0,Cat_6,A
220,CA-2015-169397,Female,Yes,86.0,Yes,Lawyer,1.0,Low,1.0,Cat_6,C
221,CA-2015-169397,Male,No,18.0,No,Healthcare,1.0,Low,5.0,Cat_6,A
222,CA-2015-169397,Male,No,37.0,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
223,CA-2015-169397,Male,Yes,46.0,Yes,Artist,1.0,Low,1.0,Cat_6,A
224,CA-2015-169397,Male,Yes,58.0,No,Artist,1.0,Average,2.0,Cat_6,D
225,CA-2015-163055,Female,Yes,72.0,Yes,Lawyer,8.0,High,2.0,Cat_6,A
226,CA-2015-163055,Female,Yes,50.0,Yes,Artist,0.0,High,3.0,Cat_6,C
227,CA-2015-163055,Female,Yes,56.0,Yes,Engineer,8.0,Average,3.0,Cat_6,A
228,US-2015-145436,Male,No,46.0,No,Artist,3.0,Low,3.0,Cat_5,D
229,US-2015-145436,Male,Yes,57.0,Yes,Artist,3.0,Low,1.0,Cat_6,D
230,US-2014-156216,Male,Yes,42.0,No,Executive,9.0,High,6.0,Cat_6,D
231,US-2017-100930,Male,No,20.0,No,Healthcare,9.0,Low,4.0,Cat_6,D
232,US-2017-100930,Male,No,19.0,No,Healthcare,9.0,Low,3.0,Cat_6,C
233,US-2017-100930,Male,No,19.0,No,Healthcare,4.0,Low,4.0,Cat_6,D
234,US-2017-100930,Male,Yes,68.0,Yes,Executive,1.0,Low,1.0,Cat_6,B
235,US-2017-100930,Female,Yes,40.0,Yes,Artist,0.0,Low,2.0,Cat_6,A
236,CA-2017-160514,Male,Yes,82.0,No,Lawyer,0.0,High,2.0,Cat_6,D
237,CA-2016-157749,Female,No,23.0,No,Healthcare,1.0,Low,3.0,Cat_6,D
238,CA-2016-157749,Female,Yes,84.0,No,Lawyer,1.0,High,2.0,Cat_6,D
239,CA-2016-157749,Male,Yes,51.0,No,Artist,0.0,Low,4.0,Cat_1,C
240,CA-2016-157749,Male,Yes,59.0,Yes,Artist,1.0,Average,2.0,Cat_6,B
241,CA-2016-157749,Female,Yes,41.0,Yes,Artist,1.0,Average,5.0,Cat_6,C
242,CA-2016-157749,Male,Yes,51.0,No,Executive,1.0,High,2.0,Cat_6,B
243,CA-2016-157749,Female,Yes,62.0,No,Artist,1.0,Average,3.0,Cat_6,C
244,CA-2014-131926,Female,Yes,62.0,No,Lawyer,1.0,High,4.0,Cat_4,C
245,CA-2014-131926,Female,Yes,38.0,Yes,Artist,8.0,Low,1.0,Cat_6,A
246,CA-2014-131926,Male,No,18.0,No,Artist,8.0,Low,4.0,Cat_4,D
247,CA-2014-131926,Male,No,22.0,No,Healthcare,3.0,Low,4.0,Cat_6,D
248,CA-2014-131926,Female,No,30.0,Yes,Doctor,0.0,Low,3.0,Cat_3,A
249,CA-2016-154739,Female,Yes,62.0,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
250,CA-2016-145625,Female,No,43.0,No,Entertainment,1.0,Low,3.0,Cat_6,A
251,CA-2016-145625,Female,No,32.0,Yes,Engineer,1.0,Low,1.0,Cat_3,D
252,CA-2016-146941,Male,Yes,37.0,Yes,Artist,1.0,High,1.0,Cat_6,B
253,CA-2016-146941,Male,No,48.0,Yes,Artist,1.0,Low,1.0,Cat_6,B
254,US-2015-159982,Female,No,31.0,Yes,Engineer,4.0,Low,2.0,Cat_6,B
255,US-2015-159982,Male,Yes,46.0,No,Artist,4.0,High,4.0,Cat_6,C
256,US-2015-159982,Female,Yes,49.0,No,Engineer,1.0,Average,4.0,Cat_6,A
257,US-2015-159982,Male,Yes,43.0,No,Doctor,1.0,Average,4.0,Cat_6,A
258,CA-2017-163139,Male,No,42.0,Yes,Artist,8.0,Low,1.0,Cat_6,A
259,CA-2017-163139,Male,Yes,37.0,Yes,Doctor,8.0,Low,2.0,Cat_6,A
260,CA-2017-163139,Male,Yes,72.0,Yes,Entertainment,8.0,High,2.0,Cat_6,C
261,US-2017-155299,Male,Yes,71.0,No,Executive,8.0,High,1.0,Cat_6,A
262,US-2014-106992,Female,No,39.0,Yes,Engineer,1.0,Low,1.0,Cat_4,D
263,US-2014-106992,Male,No,20.0,No,Healthcare,0.0,Low,5.0,Cat_2,D
264,CA-2016-125318,Female,No,26.0,No,Healthcare,0.0,Low,1.0,Cat_7,A
265,CA-2015-155040,Male,Yes,72.0,Yes,Executive,1.0,Low,1.0,Cat_6,D
266,CA-2017-136826,Male,Yes,70.0,Yes,Healthcare,0.0,Low,1.0,Cat_4,B
267,CA-2016-111010,Male,No,45.0,Yes,Artist,2.0,Low,1.0,Cat_6,C
268,US-2017-145366,Male,No,33.0,No,Executive,7.0,Low,5.0,Cat_6,D
269,US-2017-145366,Male,Yes,50.0,No,Entertainment,0.0,Average,3.0,Cat_6,C
270,CA-2017-163979,Male,No,31.0,Yes,Entertainment,6.0,Low,1.0,Cat_6,A
271,CA-2015-155334,Female,Yes,74.0,No,Lawyer,1.0,High,2.0,Cat_6,B
272,CA-2015-155334,Female,Yes,68.0,No,Artist,1.0,High,2.0,Cat_6,A
273,CA-2015-155334,Female,No,49.0,Yes,Artist,1.0,Low,1.0,Cat_6,D
274,CA-2017-118136,Male,Yes,49.0,Yes,Marketing,0.0,High,2.0,Cat_6,C
275,CA-2017-118136,Female,No,18.0,No,Healthcare,1.0,Low,3.0,Cat_6,A
276,CA-2017-132976,Female,Yes,85.0,No,Entertainment,2.0,Average,2.0,Cat_6,C
277,CA-2017-132976,Female,No,38.0,Yes,Entertainment,2.0,Low,4.0,Cat_6,A
278,CA-2017-132976,Male,Yes,28.0,No,Artist,0.0,Low,4.0,Cat_6,A
279,CA-2017-132976,Male,Yes,46.0,No,Artist,3.0,Average,2.0,Cat_6,D
280,US-2015-161991,Male,Yes,59.0,Yes,Homemaker,9.0,Average,3.0,Cat_6,B
281,US-2015-161991,Female,Yes,56.0,Yes,Artist,0.0,Low,2.0,Cat_6,B
282,CA-2015-130890,Male,Yes,69.0,Yes,Artist,0.0,Low,1.0,Cat_6,C
283,CA-2015-130883,Male,Yes,66.0,Yes,Artist,0.0,Low,2.0,Cat_6,C
284,CA-2015-130883,Male,No,18.0,No,Healthcare,4.0,Low,6.0,Cat_2,D
285,CA-2015-130883,Male,No,36.0,Yes,Artist,4.0,Low,1.0,Cat_4,A
286,CA-2016-112697,Male,No,31.0,Yes,Marketing,1.0,Low,2.0,Cat_3,B
287,CA-2016-112697,Male,Yes,67.0,No,Executive,1.0,High,2.0,Cat_4,D
